,Issue_id,Priority,Duplicated_issue,Title,Description
0,1,P3,,"['usability', 'external', 'editors']","['project', 'contain', 'resource', 'release', 'project', 'resource', 'external', 'editor', 'paintshop', 'external', 'editor', 'navigator', 'resource', 'verify', 'change', 'release', 'project', 'release', 'navigator', 'resource', 'verify', 'change', 'problem', 'refresh', 'workspace', 'change', 'release', 'open', 'resource', 'external', 'editor', 'modify', 'show', 'change', 'problem', 'occur', 'release', 'actually', 'release', 'resources', 'miss', 'extremely', 'change', 'release', 'refresh', 'release', 'move', 'comment', 'relate', 'set', 'optoinal', 'mandatory', 'default', 'set', 'consider', 'workspaces', 'network', 'drive', 'effect', 'refresh', 'complete', 'workspace', 'runnable', 'runnable', 'release', 'optimal', 'builders', 'responsible', 'maintain', 'invariants', 'derive', 'resources', 'releasable', 'builders', 'release', 'invariants', 'maintain', 'release', 'inconsistent', 'summary', 'ensure', 'consistency', 'release', 'itpvcmwinnt', 'internal', 'compare', 'document', 'fail']"
1,2,P5,,"['open', 'repository', 'resources', 'doesnt']","['open', 'repository', 'resource', 'default', 'editor', 'doesnt', 'map', 'resource', 'editors', 'result', 'possible', 'content', 'sensible', 'agree', 'need', 'eventually', 'critical', 'outliner', 'edit', 'resource', 'repository', 'move', 'general', 'specialize', 'editor', 'remote', 'resource', 'dependent', 'resources', 'expect', 'example', 'reference', 'graphic', 'editor', 'graphic', 'display', 'editor', 'write', 'accomodate', 'remote', 'miss', 'resources', 'discuss', 'vanilla', 'editors', 'itpvcmall', 'repositories', 'editor']"
2,4,P5,,"['better', 'message', 'catch', 'readonly', 'resource']","['synchronize', 'project', 'repository', 'different', 'eclipse', 'change', 'resource', 'project', 'release', 'repository', 'original', 'eclipse', 'resource', 'readonly', 'select', 'rightclick', 'properties', 'change', 'select', 'resource', 'rightclick', 'synchronize', 'stream', 'subsequent', 'comparison', 'select', 'resource', 'rightclick', 'catchup', 'mark', 'readonly', 'inevitable', 'problems', 'dialog', 'assistance', 'occur']"
3,5,P3,,"['isharingmanager', 'share', 'inconsistent']","['gettingsetting', 'manage', 'resource', 'methods', 'manageresource', 'gettingsetting', 'ignore', 'methods', 'consistent', 'suggest', 'rename', 'ignore', 'methods', 'ignoreresource', 'practice', 'method', 'accessor']"
4,8,P3,,['support'],"['current', 'repository', 'adapter', 'pessimistic', 'optimistic', 'pessimistic', 'checkouts', 'reserve', 'allow', 'resource', 'optimistic', 'checkout', 'reserve', 'systems', 'decide', 'resourceby', 'resource', 'checkout', 'reserve', 'usually', 'checkout', 'reserve', 'difficult', 'trivial', 'checkout', 'reserve', 'checkout', 'propose', 'change', 'checkout', 'additional', 'boolean', 'parameter', 'reserve', 'correspond', 'activity', 'change', 'accordingly', 'relevant', 'move', 'activemarkh', 'comment', 'solve', 'iccactivity', 'checkout', 'unlock', 'move', 'active', 'release', 'candidate', 'expose', 'development', 'community', 'people', 'complain', 'aboutasking', 'need', 'support', 'serial', 'development', 'estimate', 'development', 'future', 'bucket', 'necessity', 'jeanmichel', 'current', 'internal', 'support', 'pessimistic']"
5,10,P3,,['notification'],"['notification', 'activity', 'notification', 'resource', 'change', 'notification', 'notify', 'listeners', 'manipulate', 'wouldnt', 'notify', 'change', 'occur', 'server', 'example', 'notification', 'follow', 'events', 'possibly', 'greatly', 'improve', 'ability', 'maintain', 'refresh', 'repository', 'stream', 'stream', 'lockunlock', 'setsharing', 'project', 'stream', 'project', 'version', 'catchuprelease', 'tofrom', 'stream', 'notification', 'method', 'lotusnotesian', 'refresh', 'example', 'currently', 'stream', 'create', 'stream', 'stream', 'include', 'theyve', 'create', 'stream', 'creation', 'wizard', 'stream', 'create', 'different', 'plugins', 'repository', 'deletion', 'currently', 'support', 'deletion', 'removal', 'repository', 'workspaces', 'repositories', 'repositories', 'persistent', 'remove', 'prevent', 'grow', 'indefinitely', 'ivcmevent', 'ivcmlistener', 'ivcmprovider', 'possible', 'additional', 'change', 'resource', 'transience', 'createdelete', 'project', 'version', 'consider', 'instead', 'eventlistener', 'eclipse', 'change', 'prioritization', 'important', 'update', 'label', 'navigator', 'property', 'sheet', 'explicit', 'refresh', 'update', 'resource', 'change', 'provider', 'listener', 'update', 'change', 'share', 'drop', 'creation', 'connections', 'stream', 'update', 'stream', 'children', 'release', 'update', 'version', 'versioning', 'implement', 'events', 'stream', 'implement', 'listen', 'stream']"
6,11,P3,,"['map', 'project', 'workspace', 'project']","['jeanmichel', 'operation', 'support', 'follow', 'scenario', 'create', 'project', 'workbench', 'call', 'teamstream', 'project', 'call', 'tomcat', 'version', 'create', 'project', 'workbench', 'call', 'stream', 'project', 'tomcat', 'version', 'project', 'generally', 'semantics', 'project', 'workbench', 'versus', 'project', 'workbench', 'allow', 'map', 'project', 'regardless', 'workbench', 'project', 'choose', 'similar', 'clearcases', 'notion', 'have', 'number', 'project', 'configuration', 'clearcase', 'call', 'likewise', 'option', 'update', 'command', 'specific', 'module', 'version', 'directory', 'default', 'modules', 'mention', 'responsible', 'rename', 'project', 'threated', 'differently', 'alternative', 'method', 'available', 'rename', 'project', 'server', 'project', 'workbench', 'project', 'rename', 'affect', 'repository', 'project', 'map', 'currently', 'underlie', 'assumption', 'project', 'workspace', 'versioning', 'relax', 'move', 'consideration']"
7,12,P3,,"['manageunmanage', 'support', 'policies']","['currently', 'resource', 'share', 'version', 'control', 'project', 'manage', 'derive', 'artifacts', 'active', 'develop', 'project', 'manage', 'object', 'configuration', 'ismanaged', 'operations', 'provide', 'support', 'manage', 'resources', 'default', 'resources', 'unmanaged', 'parent', 'manage', 'project', 'share', 'policy', 'resources', 'create', 'generate', 'process', 'manage', 'automatically', 'discussion', 'jeanmichel']"
8,13,P3,,"['discussion', 'versioning']","['project', 'version', 'stream', 'explorer', 'jeanmichel', 'tag', 'affect', 'repository', 'work', 'question', 'require', 'work', 'tag', 'purpose', 'serve', 'designate', 'project', 'revisions', 'project', 'tag', 'specify', 'project', 'revisions', 'independently', 'work', 'work', 'necessary', 'manual', 'workspace', 'revisions', 'workspace', 'require', 'revisions', 'command', 'branch', 'stream', 'currently', 'version', 'record', 'history', 'allow', 'exist', 'stream', 'dangerous', 'tag', 'adapter', 'currently', 'versions', 'create', 'recommend', 'workarounds', 'section', 'output', 'follow', 'header', 'symbolic', 'select', 'version', 'internally', 'branch', 'create', 'stream', 'version', 'provide', 'operations', 'create', 'project', 'version', 'stream', 'create', 'project', 'version', 'workspace', 'operations', 'context', 'project', 'navigator', 'second', 'context', 'project', 'stream', 'repository', 'explorer', 'operations', 'jeanmichels', 'comment', 'adapter', 'currently', 'disagree', 'provide', 'support', 'confuse', 'versioning', 'workspace', 'closer', 'arguably', 'better', 'versioning', 'oppose', 'try', 'version', 'nonlocking', 'change', 'stream', 'decision', 'support', 'versioning', 'stream', 'helpful', 'baselining', 'release', 'distinction', 'inform', 'workspace', 'differ', 'stream', 'versioning', 'stream', 'helpful', 'stream', 'versioning', 'move', 'active', 'useful', 'comment']"
9,16,P5,,"['automerge', 'button']","['automerge', 'button', 'semantics', 'nonconflicting', 'incoming', 'change', 'server', 'resource', 'resource', 'click', 'button', 'conflict', 'incoming', 'change', 'decide', 'automerge', 'trivial', 'change', 'source', 'overlap', 'normal', 'change', 'nonoverlapping', 'exist', 'button']"
