,Issue_id,Priority,Duplicated_issue,Title,Description
0,49,P5,,"['progress', 'handle', 'snapshot']","['method', 'doesnt', 'provide', 'progress', 'monitor', 'swallow', 'coreexceptions', 'log', 'callers', 'snapshot', 'progress', 'monitor', 'allocate']"
1,1784,P3,,"['keyword', 'hilighting', 'account', 'grammar']","['create', 'textxhtml', 'follow', 'content', 'script', 'script', 'onload', 'onunload', 'onreset', 'onsubmit', 'idinput', 'brlabel', 'keyword', 'hilighting', 'hilighted', 'indicate', 'keywords', 'clearly', 'agree']"
2,1824,P3,,"['reconcile', 'thread', 'editors', 'open']","['selfhosting', 'workspace', 'editors', 'open', 'reveal', 'reconciler', 'thread', 'leak', 'reconcilers', 'jrebinjava', 'verify', 'verify', 'startupjar', 'application', 'ceclipseplugins', 'properties', 'djavaclasspath', 'xverifyall', 'xverifyall', 'current', 'thread', 'detail', 'signal', 'dispatcher', 'systhreadt', 'stater', 'native', 'native', 'address', 'operate', 'environment', 'get', 'windowsnt', 'processors', 'architecture', 'family', 'step', 'genuineintel', 'memory', 'pagefaultcount', 'work', 'work', 'nonpaged', 'nonpaged', 'pagefile', 'pagefile', 'application', 'environment', 'environment', 'variables', 'settingsall', 'userswinnt', 'filescommon', 'homedrivec', 'homepath', 'jdkdir', 'oswindowsnt', 'cwinntdll', 'family', 'step', 'genuineintel', 'processorlevel', 'promptpg', 'systemdrivec', 'windircwinnt', 'windowslogin', 'verify', 'verify', 'startupjar', 'application', 'ceclipseplugins', 'load', 'modules', 'cwinntntdlldll', 'cwinntdll', 'cwinntdll', 'cwinntdll', 'cwinntmsvcrtdll', 'cwinntwinmmdll', 'cwinntdll', 'cwinntdll', 'cwinntdll', 'cwinntdll', 'cwinntdll', 'cwinntdll', 'cwinntdll', 'cwinntdll', 'cwinntdll', 'cwinntdll', 'cwinntdll', 'cwinntdll', 'cwinntdll', 'cwinntdll', 'cwinntdll', 'cwinntdll', 'cwinntdnsapidll', 'cwinntwinrnrdll', 'cwinntdll', 'cwinntmsafddll', 'cwinntcscuidll', 'cwinntcscdlldll', 'cwinntmsidll', 'cwinntpsapidll', 'thread', 'modalcontext', 'systhreadt', 'statemw', 'native', 'method', 'native', 'address', 'systhreadt', 'statecw', 'native', 'method', 'native', 'address', 'systhreadt', 'statecw', 'native', 'method', 'native', 'address', 'systhreadt', 'statecw', 'native', 'method', 'native', 'address', 'systhreadt', 'statecw', 'native', 'method', 'native', 'address', 'systhreadt', 'statecw', 'native', 'method', 'native', 'address', 'systhreadt', 'statecw', 'native', 'method', 'native', 'address', 'systhreadt', 'statecw', 'native', 'method', 'native', 'address', 'systhreadt', 'statecw', 'native', 'method', 'native', 'address', 'systhreadt', 'statecw', 'native', 'method', 'native', 'address', 'systhreadt', 'statecw', 'native', 'method', 'native', 'address', 'systhreadt', 'statecw', 'native', 'method', 'native', 'address', 'systhreadt', 'statecw', 'native', 'method', 'native', 'address', 'systhreadt', 'statecw', 'native', 'method', 'native', 'address', 'systhreadt', 'statecw', 'native', 'method', 'native', 'address', 'systhreadt', 'statecw', 'native', 'method', 'native', 'address', 'systhreadt', 'statecw', 'native', 'method', 'native', 'address', 'systhreadt', 'statecw', 'native', 'method', 'native', 'address', 'systhreadt', 'statecw', 'native', 'method', 'native', 'address', 'systhreadt', 'statecw', 'native', 'method', 'native', 'address', 'systhreadt', 'statecw', 'native', 'method', 'native', 'address', 'systhreadt', 'statecw', 'native', 'method', 'native', 'address', 'systhreadt', 'statecw', 'native', 'method', 'native', 'address', 'systhreadt', 'statecw', 'native', 'method', 'native', 'address', 'systhreadt', 'statecw', 'native', 'method', 'native', 'address', 'systhreadt', 'statecw', 'native', 'method', 'native', 'address', 'systhreadt', 'statecw', 'native', 'method', 'native', 'address', 'systhreadt', 'statecw', 'native', 'method', 'native', 'address', 'systhreadt', 'statecw', 'native', 'method', 'native', 'address', 'systhreadt', 'statecw', 'native', 'method', 'native', 'address', 'systhreadt', 'statecw', 'native', 'method', 'native', 'address', 'systhreadt', 'statecw', 'native', 'method', 'native', 'address', 'systhreadt', 'statecw', 'native', 'method', 'native', 'address', 'systhreadt', 'statecw', 'native', 'method', 'native', 'address', 'systhreadt', 'statecw', 'native', 'method', 'native', 'address', 'systhreadt', 'statecw', 'native', 'method', 'native', 'address', 'systhreadt', 'statecw', 'native', 'method', 'native', 'address', 'systhreadt', 'statecw', 'native', 'method', 'native', 'address', 'systhreadt', 'statecw', 'native', 'method', 'native', 'address', 'systhreadt', 'statecw', 'native', 'method', 'native', 'address', 'systhreadt', 'statecw', 'native', 'method', 'native', 'address', 'systhreadt', 'statecw', 'native', 'method', 'native', 'address', 'systhreadt', 'statecw', 'native', 'method', 'native', 'address', 'systhreadt', 'statecw', 'native', 'method', 'native', 'address', 'systhreadt', 'statecw', 'native', 'method', 'native', 'address', 'systhreadt', 'statecw', 'native', 'method', 'native', 'address']"
3,1923,P2,,"['workbench', 'architectural', 'runnablecontext', 'fork']","['support', 'runnable', 'fork', 'public', 'runboolean', 'boolean', 'cancelable', 'runnable', 'throw', 'fork', 'runnable', 'execute', 'separate', 'modalcontext', 'thread', 'block', 'fork', 'operation', 'thread', 'responsive', 'runnable', 'execute', 'restructure', 'forkfalse', 'result', 'repaint', 'address', 'turn', 'longer', 'trivial', 'run', 'thread', 'notice', 'smart', 'dialogs', 'burden', 'attempt', 'switch', 'forktrue', 'post', 'dialogs', 'thread', 'doable', 'pattern', 'private', 'opendialogfinal', 'dialog', 'dialog', 'result', 'dialogcancel', 'runnable', 'public', 'result', 'dialogopen', 'return', 'result', 'run', 'operation', 'modify', 'document', 'consistent', 'assume', 'access', 'thread', 'issue', 'warn', 'consequences', 'forkedtrue', 'recommendations', 'handle', 'forkedtrue', 'dialogs', 'document', 'modification', 'problem', 'address', 'make', 'document', 'access', 'thread', 'inconsistent', 'better', 'forkedtrue', 'clients', 'forkedfalse', 'result', 'nonresponsive', 'behaviour']"
4,2471,P3,,"['appear', 'unused']",['reference']
5,2612,P3,,"['getmarkers', 'call', 'open', 'tasksview']","['getmarkers', 'theelements', 'getelements', 'summary', 'getsummary', 'cache', 'markers', 'halve', 'marker', 'create', 'getmarkers', 'call', 'clear', 'clearsummary', 'call', 'refer', 'neccessary', 'unclear', 'getmarkers', 'previously', 'measure', 'population']"
6,2682,P3,,"['contribute', 'submenu']","['submenus', 'try', 'create', 'cascade', 'mymenu', 'technique', 'outline', 'submenu', 'window', 'window', 'submenu', 'gray', 'submenu', 'available', 'mymenu', 'gray', 'report', 'invalid', 'extension', 'invalid', 'sample', 'eclipse', 'documentation', 'extension', 'actionset', 'labelreadme', 'action', 'visibletrue', 'labelreadme', 'editor', 'separator', 'separator', 'separator', 'action', 'labelopen', 'readme', 'browserctrlr', 'tooltipopen', 'readme', 'browser', 'enablesfor', 'selection', 'namereadme', 'selection', 'version', 'application', 'actionset', 'visibletrue', 'labelmymenu', 'mymenuid', 'mymenu', 'separator', 'windowadditions', 'separator', 'separator', 'separator', 'action', 'menubarpath', 'window', 'action', 'version', 'application', 'difference', 'instead', 'window', 'mymenu', 'instead', 'additions', 'variations', 'change', 'actionset', 'visibletrue', 'labelmymenu', 'mymenuid', 'mymenu', 'separator', 'mymenuid', 'separator', 'separator', 'separator', 'action', 'menubarpath', 'mymenuid', 'action', 'reproduce', 'success', 'problem', 'return', 'multiple', 'segment', 'findusingpath', 'parentmgr', 'parent', 'imenumanager', 'wrap', 'subclass', 'change', 'recurse', 'unwrap', 'suggest', 'change', 'unwrap', 'doesnt', 'currently', 'public', 'findstring', 'parentmgrfindid', 'instanceof', 'return', 'return', 'change', 'create', 'wrapper', 'speced', 'return', 'wrapper', 'manager', 'wrap', 'monitor', 'additions', 'removals', 'visibility', 'modify', 'visibility', 'modify', 'manager', 'return', 'wrapper', 'private', 'imenumanager', 'hashmap', 'submenumanager', 'wrapper', 'submenumanager', 'wrapper', 'wrapper', 'wrapmenumenu', 'wrapper', 'return', 'wrapper', 'change', 'getwrapper', 'getwrapper', 'putwrapper', 'public', 'imenumanager', 'instanceof', 'imenumanager', 'imenumanager', 'return', 'getwrappermenu', 'return', 'change', 'algorithm', 'wrap', 'submenus', 'public', 'string', 'string', 'separator', 'pathindexof', 'separator', 'pathsubstring', 'separator', 'findid', 'unwrap', 'instanceof', 'imenumanager', 'imenumanager', 'imenumanager', 'imenumanager', 'wrapper', 'getwrappermenu', 'return', 'return', 'delete', 'longer', 'need']"
7,2791,P3,,['saveall'],"['subject', 'report', 'mlattadctccom', 'michael', 'newsgroups', 'eclipsetools', 'organization', 'digital', 'convergence', 'current', 'editor', 'shiftctls', 'michael', 'reproduce']"
8,3040,P1,,"['potential', 'deadlock', 'project', 'creation']","['launch', 'eclipse', 'eclipse', 'open', 'workbench', 'navigator', 'select', 'newprojectjava', 'project', 'enter', 'return', 'eclipse', 'eclipse', 'freeze', 'uimain', 'localhost', 'thread', 'finalizer', 'run', 'thread', 'reference', 'handler', 'run', 'thread', 'signal', 'dispatcher', 'run', 'thread', 'run', 'thread', 'thread', 'run', 'thread', 'thread', 'suspend', 'message', 'exception', 'occur', 'attempt', 'suspend', 'reason', 'suspend', 'fail', 'detail', 'exception', 'occur', 'suspend', 'thread', 'thread', 'follow', 'thread', 'suspend', 'string', 'string', 'string', 'string', 'object', 'investigate', 'commit', 'deadlock', 'generally', 'dangerous', 'commit', 'investigate', 'entirely', 'convince']"
9,4521,P4,,"['displaysyncexec', 'process', 'native', 'events']","['attach', 'test', 'problem', 'occur', 'syncexec', 'asyncexec', 'problem', 'show', 'thread', 'priority', 'normpriority', 'change', 'priority', 'problem', 'package', 'import', 'comibmswt', 'import', 'comibmswtevents', 'import', 'comibmswtlayout', 'import', 'public', 'button', 'button', 'public', 'public', 'shellisdisposed', 'shelldispose', 'return', 'public', 'shellsettext', 'example', 'shellsetsize', 'gridlayout', 'tableshell', 'swtborder', 'griddata', 'griddata', 'gdfill', 'gdfill', 'tablecolumn', 'swtnone', 'setwidth', 'settextcolumn', 'tablecolumn', 'swtnone', 'setwidth', 'settextcolumn', 'tableitem', 'tableitemtable', 'swtnone', 'itemsettext', 'itemsettext', 'public', 'select', 'shellopen', 'return', 'public', 'display', 'display', 'shellgetdisplay', 'shellisdisposed', 'displaysleep', 'return', 'public', 'static', 'window', 'display', 'display', 'problem', 'thread', 'thread', 'threadnew', 'runnable', 'public', 'counter', 'runnable', 'runnable', 'public', 'counter', 'counter', 'produce', 'counter', 'producer', 'problem', 'threadstart', 'windowrunclose', 'example', 'windows', 'priorities', 'behaviour', 'selection', 'events', 'get', 'process', 'expect', 'happen', 'thread', 'relative', 'priority', 'change', 'example', 'thread', 'normpriority', 'thread', 'priority', 'events', 'process', 'regularly', 'miss', 'behavior', 'machine', 'priority', 'thread', 'normpriority', 'general', 'follow', 'problem', 'example', 'thread', 'have', 'display', 'thread', 'process', 'events', 'thread', 'thread', 'second', 'thread', 'runnable', 'synchronously', 'thread', 'thread', 'producer', 'thread', 'follow', 'behavior', 'thread', 'activate', 'producer', 'thread', 'runnable', 'thread', 'runnable', 'post', 'syncexec', 'producer', 'thread', 'runnable', 'execute', 'thread', 'execute', 'method', 'thread', 'active', 'runnable', 'execute', 'lookrun', 'synchronize', 'finish', 'thread', 'schedule', 'probably', 'schedule', 'thread', 'synchronize', 'notifyall', 'producer', 'thread', 'activate', 'produce', 'runnable', 'synchronously', 'activate', 'thread', 'dowhiletrue', 'remove', 'runnable', 'message', 'produce', 'thread', 'create', 'execute', 'runnable', 'produce', 'block', 'native', 'events', 'method', 'problem', 'behaviour', 'native', 'events', 'create', 'runnables', 'post', 'guarantee', 'activation', 'thread', 'syncexec', 'native', 'events', 'native', 'work', 'thread', 'leave', 'method', 'opinion', 'happen', 'thread', 'lowpriority', 'asyncexec', 'instead', 'syncexec', 'doesnt', 'change', 'general', 'asyncexec', 'thread', 'activate', 'native', 'events', 'process', 'action', 'unable', 'eclipse', 'reproduce', 'problem', 'claim', 'unable', 'reproduce', 'problem', 'understand']"
10,4575,P3,,"['desire', 'exception', 'check']","['applet', 'window', 'callbacks', 'callbacks', 'call', 'potentially', 'ptmainloop', 'plugin', 'run', 'call', 'methods', 'control', 'cause', 'problem', 'exception', 'throw', 'methods', 'expect', 'handle', 'follow', 'inputproc', 'windowcallback', 'diagnose', 'exceptions', 'currently', 'exception', 'occur', 'syncexec', 'return', 'breakpoint', 'throwables', 'constructor', 'windowproc', 'handle', 'throw', 'throwable', 'widget', 'widget', 'widgettableget', 'handle', 'widget', 'return', 'osptcontinue', 'return', 'throwable', 'embed', 'patch', 'exception', 'bother', 'sender', 'perfectly', 'change', 'follow', 'boolean', 'messagessize', 'return', 'runnablelock', 'removefirst', 'return', 'synchronize', 'lockrun', 'finally', 'locknotifyall', 'readanddispatch', 'thread', 'applet', 'fairly', 'problems', 'exceptions', 'throw', 'finally', 'notice', 'thread', 'block', 'runnable', 'current', 'versions', 'inputproc', 'message', 'embed', 'return', 'osptcontinue', 'throwable', 'return', 'osptcontinue', 'boolean', 'messagessize', 'return', 'runnablelock', 'removefirst', 'return', 'synchronize', 'lockrun', 'finally', 'locknotifyall', 'windowproc', 'handle', 'widget', 'widget', 'widgettableget', 'handle', 'widget', 'return', 'osptcontinue', 'embed', 'return', 'return', 'throwable', 'return', 'osptcontinue', 'add', 'statement', 'follow', 'throwable', 'throwable', 'change', 'methods', 'public', 'syncexec', 'runnable', 'runnable', 'isvalidthread', 'runnable', 'runnablerun', 'return', 'runnable', 'return', 'runnablelock', 'runnablelock', 'runnable', 'synchronize', 'addlast', 'boolean', 'interrupt', 'lockdone', 'lockwait', 'interrupt', 'interrupt', 'interrupt', 'lockthrowable', 'lockthrowable', 'boolean', 'messagessize', 'return', 'runnablelock', 'removefirst', 'return', 'synchronize', 'lockrun', 'throwable', 'lockthrowable', 'locknotifyall', 'caller', 'displaysyncexec', 'notify', 'exception', 'ocurred', 'run', 'syncexec', 'runnable', 'effect', 'have', 'exceptions', 'transport', 'thread', 'exception', 'thread', 'syncexec', 'swterror', 'basically', 'solve', 'ensure', 'locknotifyall', 'doesnt', 'desire', 'debug', 'windowproc', 'inputproc', 'miss', 'have', 'possible', 'swterror', 'syncexec', 'clearly', 'execption', 'handlers', 'imagine', 'people', 'different', 'behaviour', 'exception', 'throw', 'syncexec', 'depend', 'thread', 'wrap', 'swterror', 'thread', 'wrap', 'swterror', 'thread', 'safest', 'change', 'lockrun', 'lockrun', 'finally', 'locknotifyall', 'debug', 'statements', 'windowproc', 'inputproc', 'suggestion', 'embeddedtrue', 'believe', 'notifing', 'caller', 'thread', 'runnable', 'fail', 'completly', 'things', 'unexpected', 'condition', 'caller', 'syncexec', 'voyager', 'throw', 'exception', 'entire', 'applet', 'reason', 'basically', 'notifyall', 'thread', 'syncexec', 'lock', 'forever', 'control', 'basically', 'call', 'callin', 'point', 'inputproc', 'actually', 'exception', 'actually', 'occur', 'friggin', 'customer', 'limp', 'throwable', 'embed', 'movement', 'locknotifyall', 'inside', 'finally', 'instead', 'outside', 'consensus', 'things', 'optionally', 'trace', 'print', 'swterror', 'thread', 'call', 'syncexec', 'hang', 'forever', 'decide', 'happen', 'thread', 'exception', 'thread']"
11,4748,P4,,"['replace', 'hurlsey', 'signal', 'handler']","['hursley', 'initialization', 'replace', 'signal', 'handler', 'sigsegv', 'result', 'mechanism', 'longer', 'pointer', 'exception', 'cause', 'throw', 'happen', 'catch', 'signal', 'display', 'dialogue', 'useless', 'traceback', 'terminate', 'program', 'eclipse', 'rely', 'catch', 'pointer', 'exceptions', 'solution', 'remember', 'sigsegv', 'signal', 'handler', 'initialize', 'reinstall', 'handler', 'initialization', 'solution', 'implement', 'librarykdecc', 'sigaction', 'violate', 'philosophy', 'add', 'native', 'purpose', 'implement', 'sgiaction', 'callable', 'native', 'method', 'programkdeinit', 'appropriate']"
12,4944,P3,,"['connection', 'add', 'project', 'workspace']","['inconsistently', 'follow', 'add', 'project', 'workspace', 'connection', 'clientjava', 'connectionjava', 'clientjava', 'cvsadapterjava', 'workspacejava', 'workspacejava']"
13,5024,P3,,"['workbench', 'provide', 'proper', 'constant', 'project', 'perspective']","['represent', 'perspective', 'mworkbench', 'represent', 'project', 'include', 'constants', 'mperspective', 'mproject', 'mworkbench', 'respectively']"
