,Issue_id,Priority,Duplicated_issue,Title,Description
0,47,P3,,"['message', 'refresh']","['begintask', 'message', 'cause', 'generic', 'operation', 'progress', 'message', 'provide', 'descriptive', 'message']"
1,93,P3,,"['discard', 'connection', 'remove', 'password', 'keyring']","['invalid', 'password', 'log', 'cancel', 'discard', 'location', 'create', 'connection', 'password', 'chance', 'change', 'password', 'manually', 'delete', 'force', 'server', 'cancel', 'enter', 'password', 'support', 'preference', 'remove', 'move', 'future', 'reminder', 'provide', 'support']"
2,104,P3,,"['prompt', 'password', 'create', 'repository', 'location', 'doesnt']","['create', 'repository', 'location', 'field', 'wizard', 'finish', 'try', 'access', 'stream', 'prompt', 'password', 'password', 'require', 'connection', 'constructor', 'client', 'corecvs', 'authentication', 'perform', 'create', 'connection', 'create', 'connection', 'password', 'location']"
3,108,P5,,"['propagate', 'errors']","['hackfinder', 'cleanup', 'eat', 'coreexception', 'probably', 'propagate', 'exception', 'caller']"
4,118,P5,,"['vcmcore', 'message', 'resources', 'informative']","['message', 'resource', 'xyjtxt', 'informative', 'foobartxt', 'unable', 'delete', 'continue', 'operation', 'jeanmichel', 'priority']"
5,120,P3,,"['connection', 'properly']","['client', 'connection', 'server', 'properly', 'output', 'machine', 'contain', 'entries', 'connection', 'close', 'remote', 'call', 'cleanup', 'appear', 'command', 'client', 'instead', 'entries', 'receive', 'receive', 'sigchld', 'interactive', 'session', 'command', 'exit', 'status', 'receive', 'confirmation', 'connection', 'properly', 'citizens', 'eventually']"
6,124,P5,,"['load', 'versions']","['version', 'project', 'connect', 'stream', 'version', 'resources', 'separate', 'notion', 'connection', 'connect', 'stream', 'attach', 'stream']"
7,126,P5,,"['server', 'release']","['release', 'follow', 'message', 'repository', 'colsed', 'connection', 'detail', 'server', 'abort', 'rename', 'exist', 'server', 'possible', 'change', 'change', 'work', 'believe', 'look', 'briefly', 'server']"
8,151,P3,,['cancel'],"['cancel', 'operation', 'repositories', 'catch', 'project', 'release', 'stream', 'modify', 'progress', 'information', 'dialog', 'message', 'compute', 'differences', 'cancel', 'dialog', 'freeze', 'second', 'message', 'throw', 'problem', 'occur', 'cancel', 'compare', 'different', 'walkback', 'walkback', 'communication', 'method', 'freeze', 'errors', 'move', 'future']"
9,167,P5,,"['server', 'contact', 'support']","['server', 'contact', 'progress', 'monitor', 'dialog', 'status', 'cancel', 'cancelation', 'support', 'lowest', 'client', 'wait', 'response', 'server', 'poll', 'cancelation', 'transaction', 'cancel', 'realize', 'server', 'respond', 'increase', 'timeout', 'connection', 'timeout', 'erroneously']"
